Date,days,days_m,Bsr,dB,Kp1,Kp2,Kp3,Kp4,Kp5,Kp6,Kp7,Kp8,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,Ap,SN,F10.7obs,F10.7adj,D
18-09-2023,33498,33498.5,2593,1,4.333,4,3,2,4.667,5,5,4,32,27,15,7,39,48,48,27,30,126,154.5,156,1
19-09-2023,33499,33499.5,2593,2,5.333,6.333,4.667,3.333,6,5.333,3.667,2.667,56,94,39,18,80,56,22,12,47,149,166.1,167.6,1
20-09-2023,33500,33500.5,2593,3,3.667,3.333,3.333,2.667,2,2,3,3.333,22,18,18,12,7,7,15,18,15,168,155.5,156.8,1
21-09-2023,33501,33501.5,2593,4,2.333,2.333,2,1.667,2,2.667,1.667,2.667,9,9,7,6,7,12,6,12,8,189,168.1,169.4,1
22-09-2023,33502,33502.5,2593,5,1.667,1,2,2,2,3.333,1.667,2.667,6,4,7,7,7,18,6,12,8,198,175.7,177,1
23-09-2023,33503,33503.5,2593,6,2.667,2.667,1.333,2.333,2,1,2,2.667,12,12,5,9,7,4,7,12,8,195,173,174.1,1
24-09-2023,33504,33504.5,2593,7,2,1.333,2,1.667,1,1,5.667,5.667,7,5,7,6,4,4,67,67,21,175,173.7,174.8,1
25-09-2023,33505,33505.5,2593,8,5.333,4.667,4,3.333,3.333,2.667,2.333,2,56,39,27,18,18,12,9,7,23,168,170.2,171.1,1
26-09-2023,33506,33506.5,2593,9,3,4,4.667,4.667,5,3.333,3.333,3.333,15,27,39,39,48,18,18,18,28,140,164.9,165.7,1
27-09-2023,33507,33507.5,2593,10,3.667,3,3.333,3.333,2.667,3,2,0.667,22,15,18,18,12,15,7,3,14,131,156,156.7,1
28-09-2023,33508,33508.5,2593,11,1.667,3,0.333,0.667,0.667,0.333,0,2,6,15,2,3,3,2,0,7,5,113,147.8,148.4,1
29-09-2023,33509,33509.5,2593,12,2,2.667,3.667,4,2.667,1.333,0.667,0.667,7,12,22,27,12,5,3,3,11,102,155,155.5,1
30-09-2023,33510,33510.5,2593,13,1.333,2,2.333,2,2.333,2.333,2.333,2.333,5,7,9,7,9,9,9,9,8,116,159.1,159.5,1
01-10-2023,33511,33511.5,2593,14,3.667,1.667,2,1,1.667,0.667,1.667,1.667,22,6,7,4,6,3,6,6,8,153,161.1,161.5,0
02-10-2023,33512,33512.5,2593,15,3,3.333,1,1.333,1.667,1.333,1.333,2.333,15,18,4,5,6,5,5,9,8,173,157.4,157.7,0
03-10-2023,33513,33513.5,2593,16,1,2.333,1.333,1,2,2,2,2,4,9,5,4,7,7,7,7,6,148,153.7,153.8,0
04-10-2023,33514,33514.5,2593,17,3,2.333,2.333,2,1.667,1.333,2,3.667,15,9,9,7,6,5,7,22,10,159,155,155.1,0
05-10-2023,33515,33515.5,2593,18,4.333,5,2.333,3,1.667,0.667,0.667,2.333,32,48,9,15,6,3,3,9,16,169,156.1,156.1,0
06-10-2023,33516,33516.5,2593,19,2,2.333,2,1.333,1,1.333,0.667,3,7,9,7,5,4,5,3,15,7,152,155.3,155.3,0
